0.3745
Theta (Degrees)  qeff (fm^-1)  Sigma Experimental  Uncertainties
30	1.2604688894	0.0000867	1.3005E-006
40	1.6015325809	0.0000103	1.545E-007
40	1.6015325809	0.00001031	0.000000165
45	1.7533372229	0.000003752	0.00000006
45	1.7533372229	0.00000382	6.112E-008
50	1.8927861922	0.00000144	2.16E-008
50	1.8927861922	0.00000142	2.272E-008
54	1.995720207	6.789E-007	1.08624E-008
55	2.0202918232	0.000000563	0.000000009
55	2.0202918232	5.536E-007	0.00000001
60	2.1364344136	2.328E-007	3.7248E-009
60	2.1364344136	2.202E-007	5.2848E-009
65	2.2419014035	9.513E-008	2.37825E-009
82	2.5307497965	6.949E-009	2.43215E-010
90	2.6352801955	2.114E-009	8.6674E-011
100	2.7432391161	6.417E-010	3.65769E-011
155	3.0387864316	6.751E-012	1.566232E-012
155	3.0387864316	7.831E-012	1.675834E-012

