0.3745
Theta (Degrees)  qeff (fm^-1)  Sigma Experimental  Uncertainties
32	1.0593	2.04E-003	6.00E-005
34	1.1236	1.16E-003	3.00E-005
36	1.1875	6.50E-004	2.00E-005
38	1.2511	3.65E-004	1.00E-005
40	1.3144	2.00E-004	6.00E-006
42	1.3772	1.08E-004	3.00E-006
44	1.4396	5.68E-005	1.60E-006
46	1.5016	2.70E-005	8.00E-007
48	1.5631	1.27E-005	4.00E-007
50	1.6241	5.50E-006	1.70E-007
52	1.6846	2.16E-006	7.00E-008
54	1.7447	6.60E-007	2.00E-008
64	2.0364	2.27E-007	9.00E-009
66	2.093	2.51E-007	9.00E-009
66	2.093	2.60E-007	8.00E-009
68	2.1489	2.52E-007	9.00E-009
70	2.2042	2.40E-007	9.00E-009
72	2.2588	2.09E-007	9.00E-009
74	2.3127	1.80E-007	9.00E-009
76	2.3659	1.49E-007	7.50E-009
80	2.4702	9.40E-008	5.00E-009
84	2.5714	5.60E-008	3.00E-009
88	2.6695	3.25E-008	1.80E-009
92	2.7644	1.84E-008	1.20E-009
96	2.8559	9.70E-009	7.50E-010
